horseNumber;horseName;horseSex;horseAge;driver;betDistribution;earnings;winPercent;recordSuffix;recordDecimal;earningsPerStart;shoeInfo;cartInfo;lifeStats-tot;lifeStats-1;lifeStats-2;lifeStats-3;vOdds;pOdds;Tränare;Plats%;Snittodds;Poäng;Hemmabana;raceIdx;result;won;pValue;plats
6;177;0;9;79;0.0118;761100;0.11;32;2;10148;2;0;75;8;5;13;33.20;6.91;64;0.35;56.61;1045;4;1;8;0;0.0;0
7;178;0;7;5;0.2261;855080;0.5;32;2;53442;2;1;16;8;0;1;3.65;1.91;126;0.56;4.86;8145;11;1;7;0;0.0;0
8;179;0;5;15;0.1343;646700;0.21;67;0;23096;2;1;28;6;4;3;7.08;2.47;17;0.46;10.48;2790;3;1;2;0;0.0;1
9;180;0;8;80;0.1059;793090;0.26;5;2;20335;2;0;39;10;5;7;6.88;2.32;53;0.56;5.86;1334;13;1;4;0;0.0;0
10;86;0;6;35;0.023700000000000002;684800;0.24;14;3;16702;2;1;41;10;3;7;12.55;3.84;42;0.49;12.26;2825;7;1;99;0;0.0;0
11;181;0;8;6;0.0192;703800;0.21;3;0;10054;2;1;70;15;11;7;18.66;4.64;21;0.47;12.05;1560;9;1;3;0;0.0;1
0;68;2;5;6;0.0321;205400;0.16;1;13;10810;2;1;19;3;2;4;18.53;3.76;54;0.47;20.03;1430;3;2;3;0;0.0;1
1;182;0;5;81;0.0341;205400;0.18;2;11;12082;1;1;17;3;4;2;99.9;99.9;127;0.53;4.38;1450;1;2;s;0;0.0;0
2;125;0;6;8;0.1117;241600;0.23;3;13;9292;2;1;26;6;2;2;10.06;2.96;94;0.38;8.72;1705;21;2;d;0;0.0;0
3;40;0;6;27;0.1679;217800;0.13;31;11;9075;2;0;24;3;4;1;5.06;2.03;34;0.33;8.08;1615;14;2;d;0;0.0;0
4;183;0;4;62;0.035699999999999996;195000;0.19;33;10;12187;2;0;16;3;3;4;18.75;3.76;124;0.63;17.04;1830;14;2;4;0;0.0;0
5;184;0;4;46;0.3992;228000;0.21;45;13;16285;2;1;14;3;1;2;2.21;1.39;128;0.43;6.42;1810;13;2;1;1;2.21;1
6;185;2;6;5;0.0387;188100;0.15;3;13;7234;2;1;26;4;3;1;16.99;3.94;129;0.31;21.06;1571;0;2;99;0;0.0;0
7;186;2;4;32;0.061;165000;0.27;19;12;15000;2;0;11;3;2;3;18.24;3.68;45;0.73;2.95;2400;7;2;7;0;0.0;0
8;187;2;5;82;0.0849;233600;0.25;2;11;14600;2;1;16;4;3;0;8.13;2.28;130;0.44;9.59;1365;2;2;2;0;0.0;1
9;188;2;5;83;0.0055000000000000005;218600;0.16;1;13;11505;2;1;19;3;1;3;45.48;7.30;4;0.37;23.84;1520;4;2;5;0;0.0;0
10;189;2;4;84;0.0034000000000000002;232400;0.18;70;11;13670;2;1;17;3;2;3;59.97;8.65;131;0.47;24.09;1475;13;2;8;0;0.0;0
11;43;1;5;47;0.0259;151300;0.4;32;12;15130;2;1;10;4;1;1;20.97;4.10;36;0.6;10.78;2485;2;2;6;0;0.0;0
